Arreglo_ordenado,tamano_arreglo,tiempo_segundos,comparaciones,intercambios,fecha_hora
1,20000,45.541664,199990000,19996,2025-06-10 01:57:10
2,20000,45.546052,199990000,19991,2025-06-10 01:57:55
3,20000,46.544639,199990000,19986,2025-06-10 01:58:42
4,20000,47.785817,199990000,19992,2025-06-10 01:59:30
5,20000,50.299738,199990000,19990,2025-06-10 02:00:20
6,20000,48.259232,199990000,19989,2025-06-10 02:01:08
7,20000,47.870063,199990000,19990,2025-06-10 02:01:56
8,20000,46.83118,199990000,19985,2025-06-10 02:02:43
9,20000,48.327202,199990000,19989,2025-06-10 02:03:31
10,20000,46.842923,199990000,19989,2025-06-10 02:04:18
1,20000,39.605455,199990000,19996,2025-06-10 02:05:08
2,20000,42.471359,199990000,19991,2025-06-10 02:05:51
3,20000,37.827842,199990000,19986,2025-06-10 02:06:28
4,20000,36.530575,199990000,19992,2025-06-10 02:07:05
5,20000,36.549047,199990000,19990,2025-06-10 02:07:42
6,20000,37.529887,199990000,19989,2025-06-10 02:08:19
7,20000,38.786516,199990000,19990,2025-06-10 02:08:58
8,20000,42.43634,199990000,19985,2025-06-10 02:09:40
9,20000,40.565141,199990000,19989,2025-06-10 02:10:21
10,20000,40.81999,199990000,19989,2025-06-10 02:11:02
1,20000,39.575986,199990000,19996,2025-06-10 02:11:51
2,20000,40.814224,199990000,19991,2025-06-10 02:12:32
3,20000,41.220637,199990000,19986,2025-06-10 02:13:13
4,20000,41.195063,199990000,19992,2025-06-10 02:13:54
5,20000,41.455993,199990000,19990,2025-06-10 02:14:36
6,20000,42.905176,199990000,19989,2025-06-10 02:15:19
7,20000,40.964306,199990000,19990,2025-06-10 02:16:00
8,20000,41.278775,199990000,19985,2025-06-10 02:16:41
9,20000,41.304023,199990000,19989,2025-06-10 02:17:22
10,20000,41.163004,199990000,19989,2025-06-10 02:18:04
