prueba_id,tamano_arreglo,tiempo_segundos,comparaciones,intercambios,fecha_hora
1,20000,29.287947,199990000,19996,2025-06-10 02:19:56
2,20000,29.925528,199990000,19991,2025-06-10 02:20:26
3,20000,30.582852,199990000,19986,2025-06-10 02:20:57
4,20000,30.933485,199990000,19992,2025-06-10 02:21:28
5,20000,28.95291,199990000,19990,2025-06-10 02:21:56
6,20000,30.177941,199990000,19989,2025-06-10 02:22:27
7,20000,30.715797,199990000,19990,2025-06-10 02:22:57
8,20000,30.919906,199990000,19985,2025-06-10 02:23:28
9,20000,31.270672,199990000,19989,2025-06-10 02:24:00
10,20000,30.544367,199990000,19989,2025-06-10 02:24:30
1,20000,30.87393,199990000,19996,2025-06-10 02:25:01
2,20000,30.906548,199990000,19991,2025-06-10 02:25:32
3,20000,30.4042,199990000,19986,2025-06-10 02:26:02
4,20000,30.414364,199990000,19992,2025-06-10 02:26:33
5,20000,32.239762,199990000,19990,2025-06-10 02:27:05
6,20000,30.762676,199990000,19989,2025-06-10 02:27:36
7,20000,30.399829,199990000,19990,2025-06-10 02:28:06
8,20000,30.466274,199990000,19985,2025-06-10 02:28:37
9,20000,30.249576,199990000,19989,2025-06-10 02:29:07
10,20000,29.637413,199990000,19989,2025-06-10 02:29:36
1,20000,29.462444,199990000,19996,2025-06-10 02:30:06
2,20000,29.409822,199990000,19991,2025-06-10 02:30:35
3,20000,29.770995,199990000,19986,2025-06-10 02:31:05
4,20000,29.984007,199990000,19992,2025-06-10 02:31:35
5,20000,29.785019,199990000,19990,2025-06-10 02:32:05
6,20000,29.969241,199990000,19989,2025-06-10 02:32:35
7,20000,30.234577,199990000,19990,2025-06-10 02:33:05
8,20000,29.899287,199990000,19985,2025-06-10 02:33:35
9,20000,29.7364,199990000,19989,2025-06-10 02:34:05
10,20000,29.85966,199990000,19989,2025-06-10 02:34:35
